ds,yhat,yhat_lower,yhat_upper
2025-02-09,607.0265210133888,548.8873325286635,658.5167361148722
2025-02-16,422.28359718417477,366.61987076399555,472.6671896295459
2025-02-23,455.2037240400863,402.7890682620878,511.83531937189
2025-03-02,317.05003252691347,262.5826327914703,378.0531206220919
2025-03-09,153.50602936994846,100.63984831667709,209.89567355661296
2025-03-16,173.3211203900689,118.98576302911724,226.52097695640586
2025-03-23,439.4158881356709,384.164770558263,492.40749939763066
2025-03-30,703.0188417026071,647.5495858824336,752.8036217548754
2025-04-06,276.31284277201263,224.7320312709958,334.4794459430794
2025-04-13,389.7776298962393,339.18775314653834,445.5187790476325
2025-04-20,414.67708634462497,360.61895466644637,466.3822197368528
2025-04-27,801.4353883188959,745.3334411050888,853.6151979870821
2025-05-04,658.6529821522943,604.719800259536,713.5026818742203
2025-05-11,568.179405925851,514.9953019798912,623.5154495481335
2025-05-18,480.73550022332824,429.76877265349236,538.29781830059
2025-05-25,406.4917231077375,351.4782886504125,460.83452512403534
2025-06-01,324.17814715146494,273.32741668089994,377.302460041034
2025-06-08,557.0879116680899,503.8552868966146,616.8114041040211
2025-06-15,712.880789336086,659.8792254216489,766.2563085886777
2025-06-22,580.1490166757186,524.8827848472582,634.37247279321
2025-06-29,532.250586826963,476.48054835988694,587.2957763636857
2025-07-06,469.74007331552616,418.5004132197373,526.0554775636591
2025-07-13,416.9896222729429,361.7117638091366,471.2895941342406
2025-07-20,367.54674502448876,315.7041604287408,421.2532562902048
2025-07-27,437.65062005984646,383.65633861723165,490.5159972233586
2025-08-03,373.1706876770827,318.7598221751637,427.48418659787603
2025-08-10,410.75581517825367,354.9757770705592,464.9918345961599
2025-08-17,525.7858778464151,469.15968098884656,578.4632016058057
2025-08-24,699.257211418223,646.5605312356986,749.742713017465
2025-08-31,810.2365806053568,755.742616733991,864.6005343720889
2025-09-07,742.1211775529528,684.2081582608669,794.4118181099609
2025-09-14,610.6658298242029,558.0125103121202,663.5670439138187
2025-09-21,407.3378597156997,355.25925631669077,461.54468209502096
2025-09-28,291.43831793691515,237.41961255670415,345.88224027336656
2025-10-05,137.31898225876125,84.83517887666373,190.10635656764157
2025-10-12,128.0341429299175,75.28386469313239,181.02856345455012
2025-10-19,126.09389694010406,72.82919178804694,180.49187435798038
2025-10-26,267.93007483099086,215.7767837055808,322.30617837397625
2025-11-02,415.8615639120415,361.3800343332688,468.1464838547868
2025-11-09,528.1568647687665,475.6318488687023,579.6659096657608
2025-11-16,610.1008008696978,556.5964798896913,662.6158924186874
2025-11-23,448.15745803485635,390.2255388921901,503.8814562103834
2025-11-30,271.94423289598615,216.70949970122692,329.14216604085715
2025-12-07,222.3595780364526,166.17885205868828,276.63578548448766
2025-12-14,484.54017715865507,428.06764815195424,537.36084568286
2025-12-21,702.0815244799578,648.4657940156726,756.3196321519061
2025-12-28,307.6751039230876,252.81100769686256,362.31636433636544
2026-01-04,812.7163139568918,755.6095441317881,860.2117997648669
2026-01-11,1770.7218068295983,1713.1825084234777,1824.3399189269346
2026-01-18,1158.237649040018,1103.5982447763142,1209.195487951634
2026-01-25,728.1456969468724,672.632617458634,777.8943824425203
2026-02-01,246.18131953653563,189.79152841984043,299.5408680341658
2026-02-08,612.3399327836163,554.918894207918,665.3343037504713
2026-02-15,734.2033859440938,679.6725711220269,788.3799556403596
2026-02-22,1090.5293166255985,1037.0032139779867,1147.2293824795354
2026-03-01,426.34199754131384,375.5331109540652,482.9634090650237
2026-03-08,669.2583953142591,618.2802641056643,725.1678772734182
2026-03-15,1024.8439331092732,969.6496518247702,1079.4442420287996
2026-03-22,966.4107778973782,911.9481289758515,1018.1439875052811
2026-03-29,547.2804298961612,495.8855403174649,599.619474863464
2026-04-05,512.6629505203679,460.0804821814296,564.6326312968615
2026-04-12,646.5523628760127,589.4748828286898,699.9851523689643
2026-04-19,741.4530511445262,688.523519658866,795.4289867852401
2026-04-26,942.8408059875662,889.4053220201408,997.3672439090755
2026-05-03,1408.3857566315814,1351.2389973743934,1461.042565403666
2026-05-10,1023.6571072492416,969.7756441715644,1078.5938843267954
2026-05-17,872.0501817020016,822.4215456765481,924.1163455239576
2026-05-24,1385.2885129397648,1333.0827349108322,1441.4470254864364
2026-05-31,1474.7371273162346,1421.797071626867,1526.801005486351
2026-06-07,951.3807815395131,898.8846315070684,1006.8039505255213
2026-06-14,14392.813514857933,14338.392856919543,14446.005070995985
2026-06-21,425.1933005674789,371.9715552650296,480.13926878320217
2026-06-28,497.3490656728073,443.0367312257385,547.6452144366734
2026-07-05,564.5651813454991,510.6842049609335,614.8168596415303
2026-07-12,543.800726163179,483.8227312159131,601.5713906970335
2026-07-19,443.3559814170284,356.9982383547537,535.574517347588
2026-07-26,236.75452014822702,60.138045962573266,392.9645387964042
2026-08-02,6.54551915962827,-271.0813189941253,265.91050706525374
2026-08-09,-127.09631438735181,-494.8493595253277,257.9259799604341
2026-08-16,-132.96547200998418,-613.4381973914356,375.59267022099084
2026-08-23,-106.34801355085426,-731.9070270868211,534.8913967235213
2026-08-30,-174.61821273813882,-922.81346389101,652.1294113292325
